fl,fw,mt,pl,pw,sh,sl,sw,freq,s11,gain
33.4,50.0,4.0,173.2,148.0,50.0,240.0,300.0,0.856,-8.2155540272985,7.97134976916844
29.8,50.0,4.0,180.4,148.0,50.0,240.0,300.0,0.8443,-7.6294833126023,7.588624928788905
26.2,50.0,4.0,187.6,148.0,50.0,240.0,300.0,0.8344,-6.9944443965259,7.237662539886684
22.6,50.0,4.0,194.8,148.0,50.0,240.0,300.0,0.8254,-6.4714832481744,6.930944191985325
19.0,50.0,4.0,202.0,148.0,50.0,240.0,300.0,0.82,-6.1236990175908,6.7251190903391
73.0,50.0,4.0,94.0,156.0,50.0,240.0,300.0,0.6517,-17.521831560037,9.746000686194996
69.4,50.0,4.0,101.2,156.0,50.0,240.0,300.0,0.6229,-15.496230135631,9.496469349230015
65.8,50.0,4.0,108.4,156.0,50.0,240.0,300.0,0.5977,-13.271932746616,9.29081637603508
62.2,50.0,4.0,115.6,156.0,50.0,240.0,300.0,0.946,-14.913050985834,8.768229034788082
58.6,50.0,4.0,122.8,156.0,50.0,240.0,300.0,0.9343,-20.324047707583,8.723130792396313
55.0,50.0,4.0,130.0,156.0,50.0,240.0,300.0,0.9253,-42.767887789446,8.70748056346553
51.4,50.0,4.0,137.2,156.0,50.0,240.0,300.0,0.9127,-22.029870081164,8.908125717539441
47.8,50.0,4.0,144.4,156.0,50.0,240.0,300.0,0.9028,-16.011757026569,8.784248254960076
44.2,50.0,4.0,151.6,156.0,50.0,240.0,300.0,0.8902,-12.964950798729,8.601324722074416
40.6,50.0,4.0,158.8,156.0,50.0,240.0,300.0,0.8776,-10.93533861188,8.38229097778954
37.0,50.0,4.0,166.0,156.0,50.0,240.0,300.0,0.8659,-9.6171416981267,8.150452278028702
33.4,50.0,4.0,173.2,156.0,50.0,240.0,300.0,0.8533,-8.714234844856,7.9696900788125715
29.8,50.0,4.0,180.4,156.0,50.0,240.0,300.0,0.8407,-8.1710841654557,7.659642547427572
26.2,50.0,4.0,187.6,156.0,50.0,240.0,300.0,0.829,-7.7578785042636,7.46158765383156
22.6,50.0,4.0,194.8,156.0,50.0,240.0,300.0,0.8173,-7.4429794194526,7.341646189405929
19.0,50.0,4.0,202.0,156.0,50.0,240.0,300.0,0.8137,-6.9671920311974,7.15884202027159
73.0,50.0,4.0,94.0,164.0,50.0,240.0,300.0,0.6508,-20.323280552021,9.624823276027147
69.4,50.0,4.0,101.2,164.0,50.0,240.0,300.0,0.6229,-18.111593817947,9.521474970469633
65.8,50.0,4.0,108.4,164.0,50.0,240.0,300.0,0.5941,-15.084067215928,9.160669326382468
62.2,50.0,4.0,115.6,164.0,50.0,240.0,300.0,0.9433,-15.039443143866,8.893095481977342
58.6,50.0,4.0,122.8,164.0,50.0,240.0,300.0,0.9334,-19.993237591283,8.712746150369556
55.0,50.0,4.0,130.0,164.0,50.0,240.0,300.0,0.9235,-37.384617508286,8.600400313754456
51.4,50.0,4.0,137.2,164.0,50.0,240.0,300.0,0.9109,-22.896573508583,8.637253469392528
47.8,50.0,4.0,144.4,164.0,50.0,240.0,300.0,0.9001,-16.299756327449,8.551835104225782
44.2,50.0,4.0,151.6,164.0,50.0,240.0,300.0,0.8884,-13.208495431602,8.395279812172909
40.6,50.0,4.0,158.8,164.0,50.0,240.0,300.0,0.8767,-11.192925069695,8.306123029649443
37.0,50.0,4.0,166.0,164.0,50.0,240.0,300.0,0.865,-9.7794353812008,8.15206348016245
33.4,50.0,4.0,173.2,164.0,50.0,240.0,300.0,0.8515,-8.9517688981308,8.026848272122836
29.8,50.0,4.0,180.4,164.0,50.0,240.0,300.0,0.838,-8.2961877940171,7.88905324465808
26.2,50.0,4.0,187.6,164.0,50.0,240.0,300.0,0.8209,-7.9291096496892,7.780250244826785
22.6,50.0,4.0,194.8,164.0,50.0,240.0,300.0,0.8047,-7.9435764706338,7.624208976664414
19.0,50.0,4.0,202.0,164.0,50.0,240.0,300.0,0.7984,-7.9903508269323,7.343000585999208
73.0,50.0,4.0,94.0,172.0,50.0,240.0,300.0,0.6526,-25.203841199933,9.428310054022964
69.4,50.0,4.0,101.2,172.0,50.0,240.0,300.0,0.6202,-21.414991252402,9.361005772909959
65.8,50.0,4.0,108.4,172.0,50.0,240.0,300.0,0.5896,-18.580695021811,8.988991500832755
62.2,50.0,4.0,115.6,172.0,50.0,240.0,300.0,1.0,-15.575700073101,8.6708844641196
58.6,50.0,4.0,122.8,172.0,50.0,240.0,300.0,0.9325,-20.203817045508,8.706813687149825
55.0,50.0,4.0,130.0,172.0,50.0,240.0,300.0,0.9208,-38.461090726115,8.583100386114305
51.4,50.0,4.0,137.2,172.0,50.0,240.0,300.0,0.9118,-23.563931018387,8.469658727728282
47.8,50.0,4.0,144.4,172.0,50.0,240.0,300.0,0.8983,-16.27976295528,8.386888817326733
44.2,50.0,4.0,151.6,172.0,50.0,240.0,300.0,0.8866,-13.291504611407,8.287471623936174
40.6,50.0,4.0,158.8,172.0,50.0,240.0,300.0,0.8749,-10.972606124344,8.297363550614683
37.0,50.0,4.0,166.0,172.0,50.0,240.0,300.0,0.8632,-9.5962290447415,8.224652524967045
33.4,50.0,4.0,173.2,172.0,50.0,240.0,300.0,0.8506,-8.6476164421622,8.108243012813976
29.8,50.0,4.0,180.4,172.0,50.0,240.0,300.0,0.8371,-8.0071138977557,8.008593430584662
26.2,50.0,4.0,187.6,172.0,50.0,240.0,300.0,0.8209,-7.4956976931512,7.905191435391554
22.6,50.0,4.0,194.8,172.0,50.0,240.0,300.0,0.7894,-7.9556513909812,7.791622127463134
19.0,50.0,4.0,202.0,172.0,50.0,240.0,300.0,0.7867,-8.2838539696827,7.439965850995364
73.0,50.0,4.0,94.0,180.0,50.0,240.0,300.0,0.6508,-33.751401428585,9.07048123368376
69.4,50.0,4.0,101.2,180.0,50.0,240.0,300.0,0.6139,-29.387031407247,8.930321490161683
65.8,50.0,4.0,108.4,180.0,50.0,240.0,300.0,0.586,-20.090321704863,8.74805019557026
62.2,50.0,4.0,115.6,180.0,50.0,240.0,300.0,1.0,-15.842685536255,8.6634316549697
58.6,50.0,4.0,122.8,180.0,50.0,240.0,300.0,0.9307,-20.963368877021,8.741105139560128
55.0,50.0,4.0,130.0,180.0,50.0,240.0,300.0,0.9208,-48.150413799149,8.543030519418497
51.4,50.0,4.0,137.2,180.0,50.0,240.0,300.0,0.9073,-21.868887963544,8.356772263900348
47.8,50.0,4.0,144.4,180.0,50.0,240.0,300.0,0.8965,-15.82063997201,8.237590386076185
44.2,50.0,4.0,151.6,180.0,50.0,240.0,300.0,0.8848,-12.73516741421,8.322202239557507
40.6,50.0,4.0,158.8,180.0,50.0,240.0,300.0,0.8722,-10.65650584979,8.323514880303978
37.0,50.0,4.0,166.0,180.0,50.0,240.0,300.0,0.8614,-9.3813992132808,8.308924877225092
33.4,50.0,4.0,173.2,180.0,50.0,240.0,300.0,0.8497,-8.2033458180032,8.204980937796979
29.8,50.0,4.0,180.4,180.0,50.0,240.0,300.0,0.8389,-7.5522241510181,8.020304099077274
26.2,50.0,4.0,187.6,180.0,50.0,240.0,300.0,0.8272,-6.9279202387341,7.877429692388487
22.6,50.0,4.0,194.8,180.0,50.0,240.0,300.0,0.7777,-7.0984617893387,7.86168665885694
19.0,50.0,4.0,202.0,180.0,50.0,240.0,300.0,0.7732,-7.9918675075399,7.49517558473658
73.0,50.0,4.0,94.0,188.0,50.0,240.0,300.0,0.6544,-26.361169462653,8.679935924236212
69.4,50.0,4.0,101.2,188.0,50.0,240.0,300.0,0.6094,-37.547210844236,8.503768922650528
65.8,50.0,4.0,108.4,188.0,50.0,240.0,300.0,0.5869,-24.253593560837,8.523823437103376
62.2,50.0,4.0,115.6,188.0,50.0,240.0,300.0,0.5635,-16.794637792689,8.666764137603867
58.6,50.0,4.0,122.8,188.0,50.0,240.0,300.0,0.9325,-21.091168264316,8.716204408220175
55.0,50.0,4.0,130.0,188.0,50.0,240.0,300.0,0.9199,-46.30387770244,8.503930067899395
51.4,50.0,4.0,137.2,188.0,50.0,240.0,300.0,0.9064,-20.43748919898,8.350976634318775
47.8,50.0,4.0,144.4,188.0,50.0,240.0,300.0,0.8947,-15.079269161382,8.292276005633145
44.2,50.0,4.0,151.6,188.0,50.0,240.0,300.0,0.883,-12.297356886568,8.26786934934649
40.6,50.0,4.0,158.8,188.0,50.0,240.0,300.0,0.8704,-10.478363744437,8.333535808156665
37.0,50.0,4.0,166.0,188.0,50.0,240.0,300.0,0.8605,-8.715243945996,8.336329449079335
33.4,50.0,4.0,173.2,188.0,50.0,240.0,300.0,0.8497,-7.7700498972308,8.174458093035998
29.8,50.0,4.0,180.4,188.0,50.0,240.0,300.0,0.8389,-7.0218226935235,8.045337173960307
26.2,50.0,4.0,187.6,188.0,50.0,240.0,300.0,0.829,-6.4091066481807,7.84839673617188
22.6,50.0,4.0,194.8,188.0,50.0,240.0,300.0,0.766,-6.0016736710473,7.92517322785642
19.0,50.0,4.0,202.0,188.0,50.0,240.0,300.0,0.7615,-7.0610032911751,7.52381137355635
73.0,50.0,4.0,94.0,196.0,50.0,240.0,300.0,0.6571,-23.165538834628,8.358067657015091
69.4,50.0,4.0,101.2,196.0,50.0,240.0,300.0,0.6382,-33.304953267254,7.9063521062687085
65.8,50.0,4.0,108.4,196.0,50.0,240.0,300.0,0.5788,-32.910283245716,8.424785683899456
62.2,50.0,4.0,115.6,196.0,50.0,240.0,300.0,0.5563,-17.77840302484,8.824163544597495
58.6,50.0,4.0,122.8,196.0,50.0,240.0,300.0,0.928,-23.564668680115,8.705728287899179
55.0,50.0,4.0,130.0,196.0,50.0,240.0,300.0,0.9154,-33.632936132999,8.467458339880572
51.4,50.0,4.0,137.2,196.0,50.0,240.0,300.0,0.9037,-19.645698476703,8.220297193524043
47.8,50.0,4.0,144.4,196.0,50.0,240.0,300.0,0.892,-14.640464883191,8.2589935221983
44.2,50.0,4.0,151.6,196.0,50.0,240.0,300.0,0.8794,-11.60066231711,8.436077414330938
40.6,50.0,4.0,158.8,196.0,50.0,240.0,300.0,0.8713,-9.791044305864,8.318298034869562
37.0,50.0,4.0,166.0,196.0,50.0,240.0,300.0,0.8587,-8.3896992149661,8.28740270681359
33.4,50.0,4.0,173.2,196.0,50.0,240.0,300.0,0.8479,-7.3174553758454,8.191392031911684
29.8,50.0,4.0,180.4,196.0,50.0,240.0,300.0,0.838,-6.5954931867297,7.95563856621042
26.2,50.0,4.0,187.6,196.0,50.0,240.0,300.0,1.0,-6.6038851959562,10.496201263306
22.6,50.0,4.0,194.8,196.0,50.0,240.0,300.0,1.0,-7.917668011146,10.015866219845
19.0,50.0,4.0,202.0,196.0,50.0,240.0,300.0,0.9973,-7.7369625132046,9.19388911460323
73.0,50.0,4.0,94.0,204.0,50.0,240.0,300.0,0.6526,-20.458481503011,7.994686601944406
69.4,50.0,4.0,101.2,204.0,50.0,240.0,300.0,0.6364,-27.08594755551,7.566638791957344
65.8,50.0,4.0,108.4,204.0,50.0,240.0,300.0,0.5734,-33.196267649568,8.470867421889519
62.2,50.0,4.0,115.6,204.0,50.0,240.0,300.0,0.5509,-20.167888949739,8.942220811837261
58.6,50.0,4.0,122.8,204.0,50.0,240.0,300.0,0.9262,-25.700206625717,8.63899789518949
55.0,50.0,4.0,130.0,204.0,50.0,240.0,300.0,0.9127,-30.496256522783,8.436041773401376
51.4,50.0,4.0,137.2,204.0,50.0,240.0,300.0,0.9001,-18.818865927903,8.184589952994436
47.8,50.0,4.0,144.4,204.0,50.0,240.0,300.0,0.8893,-14.104877826413,8.388168755177212
44.2,50.0,4.0,151.6,204.0,50.0,240.0,300.0,0.8758,-11.279586701419,8.492243276123924
40.6,50.0,4.0,158.8,204.0,50.0,240.0,300.0,0.8677,-9.4172770286298,8.468953104808076
37.0,50.0,4.0,166.0,204.0,50.0,240.0,300.0,0.856,-8.0343305400219,8.35080022748596
33.4,50.0,4.0,173.2,204.0,50.0,240.0,300.0,0.8461,-6.9881399629232,8.166832946782113
29.8,50.0,4.0,180.4,204.0,50.0,240.0,300.0,1.0,-7.3999990076684,10.348042087373
26.2,50.0,4.0,187.6,204.0,50.0,240.0,300.0,1.0,-10.464746756902,9.6794491223926
22.6,50.0,4.0,194.8,204.0,50.0,240.0,300.0,0.9964,-11.32755383322,8.508481463913897
19.0,50.0,4.0,202.0,204.0,50.0,240.0,300.0,0.9892,-11.241546442545,7.714984612955161
73.0,50.0,4.0,94.0,212.0,50.0,240.0,300.0,0.649,-18.603573900427,7.87330924621419
69.4,50.0,4.0,101.2,212.0,50.0,240.0,300.0,0.6319,-20.767867029894,7.63762637411464
65.8,50.0,4.0,108.4,212.0,50.0,240.0,300.0,0.6229,-36.012288002684,7.546948465200812
62.2,50.0,4.0,115.6,212.0,50.0,240.0,300.0,0.6184,-23.08467256078,7.476900611384869
58.6,50.0,4.0,122.8,212.0,50.0,240.0,300.0,0.9226,-26.625440475055,8.569247999667757
55.0,50.0,4.0,130.0,212.0,50.0,240.0,300.0,0.91,-28.618871149569,8.3544647413658
51.4,50.0,4.0,137.2,212.0,50.0,240.0,300.0,0.8974,-18.091220885415,8.299543493167379
47.8,50.0,4.0,144.4,212.0,50.0,240.0,300.0,0.8857,-13.705633051533,8.430281356927203
44.2,50.0,4.0,151.6,212.0,50.0,240.0,300.0,0.8758,-11.093001700657,8.509005935903906
40.6,50.0,4.0,158.8,212.0,50.0,240.0,300.0,0.865,-9.1295366008147,8.4999841057083
37.0,50.0,4.0,166.0,212.0,50.0,240.0,300.0,0.8533,-7.7551953029816,8.425012496988385
33.4,50.0,4.0,173.2,212.0,50.0,240.0,300.0,1.0,-7.7916248535412,10.259008446426
29.8,50.0,4.0,180.4,212.0,50.0,240.0,300.0,1.0,-12.070432049797,9.6109515923384
26.2,50.0,4.0,187.6,212.0,50.0,240.0,300.0,0.9973,-16.265488412092,8.049079376500913
22.6,50.0,4.0,194.8,212.0,50.0,240.0,300.0,0.9892,-16.370714370003,6.93744768913726
19.0,50.0,4.0,202.0,212.0,50.0,240.0,300.0,0.9811,-16.569837738686,7.6831201193525125
73.0,50.0,4.0,94.0,220.0,50.0,240.0,300.0,1.0,-19.774426412933,9.4753418557322
69.4,50.0,4.0,101.2,220.0,50.0,240.0,300.0,1.0,-22.335600103455,9.1703621747347
65.8,50.0,4.0,108.4,220.0,50.0,240.0,300.0,0.6166,-22.428717132438,7.836645201529156
62.2,50.0,4.0,115.6,220.0,50.0,240.0,300.0,0.6103,-44.038544071934,7.7464329863885295
58.6,50.0,4.0,122.8,220.0,50.0,240.0,300.0,0.9199,-28.161155279712,8.480591729035147
55.0,50.0,4.0,130.0,220.0,50.0,240.0,300.0,0.9073,-27.129678097801,8.355921715010025
51.4,50.0,4.0,137.2,220.0,50.0,240.0,300.0,0.8947,-17.741236156784,8.345045390782705
47.8,50.0,4.0,144.4,220.0,50.0,240.0,300.0,0.8821,-13.348451048041,8.585366986733394
44.2,50.0,4.0,151.6,220.0,50.0,240.0,300.0,0.8722,-10.794457922728,8.633237336631028
40.6,50.0,4.0,158.8,220.0,50.0,240.0,300.0,0.8605,-9.0060009205495,8.57972079126207
37.0,50.0,4.0,166.0,220.0,50.0,240.0,300.0,0.5995,-7.8712769357874,6.679833617388939
33.4,50.0,4.0,173.2,220.0,50.0,240.0,300.0,1.0,-11.413046634245,9.6189027908456
29.8,50.0,4.0,180.4,220.0,50.0,240.0,300.0,0.9991,-23.778517932825,8.14417650867255
26.2,50.0,4.0,187.6,220.0,50.0,240.0,300.0,0.9901,-26.593591740375,6.990602249998295
22.6,50.0,4.0,194.8,220.0,50.0,240.0,300.0,0.9811,-28.675807054703,6.908965508407716
19.0,50.0,4.0,202.0,220.0,50.0,240.0,300.0,0.973,-31.341916901143,8.01414385392059
73.0,50.0,4.0,94.0,228.0,50.0,240.0,300.0,1.0,-20.861340725887,9.4464893885462
69.4,50.0,4.0,101.2,228.0,50.0,240.0,300.0,1.0,-24.565556264935,9.1621737535419
65.8,50.0,4.0,108.4,228.0,50.0,240.0,300.0,1.0,-20.398202050388,8.8515893084272
62.2,50.0,4.0,115.6,228.0,50.0,240.0,300.0,0.5374,-44.158277543215,8.691257799222738
58.6,50.0,4.0,122.8,228.0,50.0,240.0,300.0,0.5995,-40.647454092269,7.96354914171539
55.0,50.0,4.0,130.0,228.0,50.0,240.0,300.0,0.9046,-26.35117135866,8.294487293883355
51.4,50.0,4.0,137.2,228.0,50.0,240.0,300.0,0.595,-19.274223571866,7.474077734959451
47.8,50.0,4.0,144.4,228.0,50.0,240.0,300.0,0.5941,-14.953655414095,7.228296658434848
44.2,50.0,4.0,151.6,228.0,50.0,240.0,300.0,0.5923,-13.202457294085,6.968205819739292
40.6,50.0,4.0,158.8,228.0,50.0,240.0,300.0,0.5914,-11.277926923123,6.63625476865798
37.0,50.0,4.0,166.0,228.0,50.0,240.0,300.0,0.5896,-9.9397621440054,6.250373716316192
33.4,50.0,4.0,173.2,228.0,50.0,240.0,300.0,1.0,-23.207104683858,8.4278732970127
29.8,50.0,4.0,180.4,228.0,50.0,240.0,300.0,0.9928,-31.608013987005,7.374205544517527
26.2,50.0,4.0,187.6,228.0,50.0,240.0,300.0,0.9838,-25.833956232037,6.73665781188378
22.6,50.0,4.0,194.8,228.0,50.0,240.0,300.0,0.9748,-22.157825545609,7.35980311338106
19.0,50.0,4.0,202.0,228.0,50.0,240.0,300.0,0.9658,-20.912557718557,8.386237036634414
73.0,50.0,4.0,94.0,236.0,50.0,240.0,300.0,1.0,-22.401786763403,9.3693792009196
69.4,50.0,4.0,101.2,236.0,50.0,240.0,300.0,1.0,-26.144987308924,9.0213422274436
65.8,50.0,4.0,108.4,236.0,50.0,240.0,300.0,1.0,-19.255179105804,8.7208546428082
62.2,50.0,4.0,115.6,236.0,50.0,240.0,300.0,0.5329,-32.639532424132,8.439842405278153
58.6,50.0,4.0,122.8,236.0,50.0,240.0,300.0,0.9154,-29.987374232524,8.476011834430244
55.0,50.0,4.0,130.0,236.0,50.0,240.0,300.0,0.5887,-40.278396812322,7.393222109260392
51.4,50.0,4.0,137.2,236.0,50.0,240.0,300.0,0.5869,-25.530527792552,7.080835398184876
47.8,50.0,4.0,144.4,236.0,50.0,240.0,300.0,0.586,-19.798558778503,6.67661749258156
44.2,50.0,4.0,151.6,236.0,50.0,240.0,300.0,0.5842,-16.037282096262,6.19132457015898
40.6,50.0,4.0,158.8,236.0,50.0,240.0,300.0,0.5824,-13.625853644786,5.61970270307488
37.0,50.0,4.0,166.0,236.0,50.0,240.0,300.0,1.0,-13.633590585867,8.9599600934923
33.4,50.0,4.0,173.2,236.0,50.0,240.0,300.0,0.9964,-22.366112961921,7.510787166662577
29.8,50.0,4.0,180.4,236.0,50.0,240.0,300.0,0.9874,-19.401378748083,7.264637843385093
26.2,50.0,4.0,187.6,236.0,50.0,240.0,300.0,0.9775,-17.187811241544,6.908510646213474
22.6,50.0,4.0,194.8,236.0,50.0,240.0,300.0,0.9685,-16.102790456511,7.808789591784899
19.0,50.0,4.0,202.0,236.0,50.0,240.0,300.0,0.9604,-15.504934302502,8.65675974596692
73.0,50.0,4.0,94.0,244.0,50.0,240.0,300.0,1.0,-25.228089361703,9.3136995247052
69.4,50.0,4.0,101.2,244.0,50.0,240.0,300.0,1.0,-26.110243792408,9.0621031566802
65.8,50.0,4.0,108.4,244.0,50.0,240.0,300.0,1.0,-18.291383524471,8.7765868195954
62.2,50.0,4.0,115.6,244.0,50.0,240.0,300.0,0.5284,-24.179540006603,7.91487958210598
58.6,50.0,4.0,122.8,244.0,50.0,240.0,300.0,0.9118,-29.476460163411,8.425567095158675
55.0,50.0,4.0,130.0,244.0,50.0,240.0,300.0,0.8992,-25.500301627692,8.430328572430216
51.4,50.0,4.0,137.2,244.0,50.0,240.0,300.0,0.5797,-40.366996459132,6.110825497999698
47.8,50.0,4.0,144.4,244.0,50.0,240.0,300.0,0.577,-28.870874329007,5.403857651608417
44.2,50.0,4.0,151.6,244.0,50.0,240.0,300.0,0.5761,-21.310235714507,4.969942868671424
40.6,50.0,4.0,158.8,244.0,50.0,240.0,300.0,0.5743,-17.283609417236,4.783104601502101
37.0,50.0,4.0,166.0,244.0,50.0,240.0,300.0,1.0,-18.983115867867,7.8103663952485
33.4,50.0,4.0,173.2,244.0,50.0,240.0,300.0,0.991,-16.955241208879,7.5749181270736905
29.8,50.0,4.0,180.4,244.0,50.0,240.0,300.0,0.982,-15.236257811098,7.082720413855061
26.2,50.0,4.0,187.6,244.0,50.0,240.0,300.0,0.9712,-13.516034239983,7.52467864320733
22.6,50.0,4.0,194.8,244.0,50.0,240.0,300.0,0.9622,-12.543297543882,8.279457321731615
19.0,50.0,4.0,202.0,244.0,50.0,240.0,300.0,0.9541,-12.312898405263,8.873670096685144
73.0,50.0,4.0,94.0,252.0,50.0,240.0,300.0,1.0,-28.291713195008,9.2397293173997
69.4,50.0,4.0,101.2,252.0,50.0,240.0,300.0,1.0,-24.608638589854,9.0366902703154
65.8,50.0,4.0,108.4,252.0,50.0,240.0,300.0,1.0,-16.976240336664,8.7074712103954
62.2,50.0,4.0,115.6,252.0,50.0,240.0,300.0,0.5248,-19.79389803011,7.3443169048198875
58.6,50.0,4.0,122.8,252.0,50.0,240.0,300.0,0.9109,-29.201017185037,8.39727855638615
55.0,50.0,4.0,130.0,252.0,50.0,240.0,300.0,0.8983,-28.038181431444,8.397785124977863
51.4,50.0,4.0,137.2,252.0,50.0,240.0,300.0,0.5716,-24.124230919553,5.635102943172063
47.8,50.0,4.0,144.4,252.0,50.0,240.0,300.0,0.5698,-34.503571272882,5.41012050443382
44.2,50.0,4.0,151.6,252.0,50.0,240.0,300.0,0.568,-30.271821922614,5.081951346906836
40.6,50.0,4.0,158.8,252.0,50.0,240.0,300.0,0.5662,-22.91773486755,4.917196359190218
37.0,50.0,4.0,166.0,252.0,50.0,240.0,300.0,0.5653,-18.717136568808,4.8365217117522095
33.4,50.0,4.0,173.2,252.0,50.0,240.0,300.0,0.5635,-16.653075144807,4.7653250641843785
29.8,50.0,4.0,180.4,252.0,50.0,240.0,300.0,0.5617,-14.781824456473,4.673318006211507
26.2,50.0,4.0,187.6,252.0,50.0,240.0,300.0,0.5599,-13.526423158499,4.89041414811405
22.6,50.0,4.0,194.8,252.0,50.0,240.0,300.0,0.5581,-12.618517228685,4.865240322438761
19.0,50.0,4.0,202.0,252.0,50.0,240.0,300.0,0.5572,-11.792709041203,4.797807976551123
73.0,50.0,4.0,94.0,260.0,50.0,240.0,300.0,1.0,-29.836896824863,9.2636735198588
69.4,50.0,4.0,101.2,260.0,50.0,240.0,300.0,1.0,-23.395887781387,9.0068682585145
65.8,50.0,4.0,108.4,260.0,50.0,240.0,300.0,0.7759,-17.608230512402,8.096619663024972
62.2,50.0,4.0,115.6,260.0,50.0,240.0,300.0,0.9217,-19.192904910783,8.620959871125608
58.6,50.0,4.0,122.8,260.0,50.0,240.0,300.0,0.5113,-30.9624130434,7.323862308117367
55.0,50.0,4.0,130.0,260.0,50.0,240.0,300.0,0.7516,-28.520963671979,8.042218345972
51.4,50.0,4.0,137.2,260.0,50.0,240.0,300.0,0.7453,-25.426734149883,7.108777903842599
47.8,50.0,4.0,144.4,260.0,50.0,240.0,300.0,0.5626,-25.512761371182,5.720644111279206
44.2,50.0,4.0,151.6,260.0,50.0,240.0,300.0,0.5608,-37.778627895383,5.54868345008979
40.6,50.0,4.0,158.8,260.0,50.0,240.0,300.0,0.559,-29.322600528667,5.35564724140112
37.0,50.0,4.0,166.0,260.0,50.0,240.0,300.0,0.5581,-22.600074827086,5.266576596247341
33.4,50.0,4.0,173.2,260.0,50.0,240.0,300.0,0.5563,-19.480498216323,5.197316296003649
29.8,50.0,4.0,180.4,260.0,50.0,240.0,300.0,0.5554,-17.426330954765,5.273516302430744
26.2,50.0,4.0,187.6,260.0,50.0,240.0,300.0,0.5527,-15.572050555367,5.26857042448358
22.6,50.0,4.0,194.8,260.0,50.0,240.0,300.0,0.5518,-14.576682366182,5.176556531193526
19.0,50.0,4.0,202.0,260.0,50.0,240.0,300.0,0.55,-13.487929346497,5.2374330128196
73.0,50.0,4.0,94.0,140.0,56.125,240.0,300.0,1.0,-17.632791374078,9.6957800742173
69.4,50.0,4.0,101.2,140.0,56.125,240.0,300.0,0.6184,-15.402755279881,9.463913254077639
65.8,50.0,4.0,108.4,140.0,56.125,240.0,300.0,1.0,-13.435102251544,9.00931427176
62.2,50.0,4.0,115.6,140.0,56.125,240.0,300.0,0.9235,-15.453556209982,8.87613706040928
58.6,50.0,4.0,122.8,140.0,56.125,240.0,300.0,0.9154,-19.973552625901,9.377904754058248
55.0,50.0,4.0,130.0,140.0,56.125,240.0,300.0,0.9091,-32.459235302641,9.611992524299081
51.4,50.0,4.0,137.2,140.0,56.125,240.0,300.0,0.901,-24.131866770265,9.663833176163418
